ID,Epic,Equipo,Fase,FaseNombre,Titulo,Descripcion,CriterioDeAceptacion,Estado,EsNueva,BloqueadaPor,Etiquetas
B0.1,Backend · Fase 0 — Fundamentos e infraestructura,Backend,0,Fundamentos e infraestructura,Esquema Postgres,"Modelar el almacenamiento: tenants, roles, users, layout_versions, tabs, panels, panel_options, panel_data, catalog_metrics, agent_configs. panel_data es el snapshot materializado y no una vista sobre Snowflake.","• Las migraciones corren de cero sobre una base vacía y son reversibles.
• Un panel se ancla a metric_id; ninguna tabla guarda SQL ni nombre de tabla de Snowflake asociado a un panel.
• panel_data tiene clave (tenant_id, metric_id, periodo) y columnas para el gobierno completo: base, capa, fuente, frescura, catalog_version.
• Existe un diagrama o un schema.sql versionado en el repo del backend.",pendiente,no,,equipo:backend fase:0 estado:pendiente
B0.2,Backend · Fase 0 — Fundamentos e infraestructura,Backend,0,Fundamentos e infraestructura,Versionado de layout,"Un layout tiene versiones con estado draft | published. Publicar congela una versión, le asigna versionId y sella publishedAt.","• Editar un layout publicado crea un borrador nuevo; nunca muta el publicado.
• Un tenant tiene como máximo un layout publicado por dashboard en un momento.
• Se puede consultar el histórico de versiones con quién publicó y cuándo.
• Publicar invalida la cache de layout de ese tenant (ver B2.8).",pendiente,no,,equipo:backend fase:0 estado:pendiente
B0.3,Backend · Fase 0 — Fundamentos e infraestructura,Backend,0,Fundamentos e infraestructura,Autenticación JWT,"Emitir y validar tokens con claims tenant_id, role_id, user_id y aud (usuario | platform). El front no decodifica el token: recibe todo resuelto en /config/me.","• Todo endpoint bajo /api/v1 rechaza sin Authorization: Bearer con 401.
• El token expira y hay refresh o re-login declarado.
• Ningún endpoint devuelve tenant_id como identificador que el front deba reenviar: la pertenencia se resuelve del token.",pendiente,no,,equipo:backend fase:0 estado:pendiente
B0.4,Backend · Fase 0 — Fundamentos e infraestructura,Backend,0,Fundamentos e infraestructura,Middleware de auth y envelope,"Toda respuesta viaja como { success: true, data } o { success: false, error: { codigo, mensaje, campo?, desbloqueaCon? } }.","• No hay endpoint que devuelva el objeto pelado sin envelope.
• mensaje está escrito desde el lado del usuario. §8 de design.md: los errores no se disculpan y nunca son vagos — «El feed de inventario tiene 31 horas», no «Error al obtener snapshot».
• codigo es estable y sirve para decidir en código.",pendiente,no,,equipo:backend fase:0 estado:pendiente
B0.5,Backend · Fase 0 — Fundamentos e infraestructura,Backend,0,Fundamentos e infraestructura,Contrato de consola,"contracts/synapse-api.yaml ya existe y cubre los endpoints de consola: me, catalog, blocks, tabs/{tabId}, panels:batch, chat, chat/hilos, me/preferencias, más decisiones, accionables y solicitudes. Fue escrito por el front derivándolo de §4 y de lo que C1 consume.","• El backend lo revisa y lo adopta, o marca las diferencias en el propio archivo.
• Al adoptarse deja de ser propuesta del front y pasa a ser fuente de los dos lados (T1).",hecho,no,,equipo:backend fase:0 estado:hecho
B0.6,Backend · Fase 0 — Fundamentos e infraestructura,Backend,0,Fundamentos e infraestructura,Extender el contrato con admin y builder,"Agregar al yaml los endpoints de §5: /admin/tenants, /admin/tenants/{id}/layouts, /admin/layouts/{id}, .../publish, .../validate, /admin/tenants/{id}/catalog, /admin/tenants/{id}/agents.","• Los esquemas de admin reutilizan PanelConfigurado, Metrica y Bloque; no se declaran versiones paralelas.
• openapi-typescript genera sin errores y el front compila contra los tipos.
• Cada endpoint declara qué aud del token acepta.",pendiente,no,,equipo:backend fase:0 estado:pendiente
B0.7,Backend · Fase 0 — Fundamentos e infraestructura,Backend,0,Fundamentos e infraestructura,Tipos de servidor desde OpenAPI,"Generar los tipos del backend desde el mismo yaml, o compartir el contrato de modo que una divergencia rompa el build de alguno de los dos.","• Cambiar un campo en el yaml sin actualizar el backend falla en CI.
• No hay un segundo lugar donde estén escritos los mismos tipos a mano.",pendiente,no,,equipo:backend fase:0 estado:pendiente
B0.8,Backend · Fase 0 — Fundamentos e infraestructura,Backend,0,Fundamentos e infraestructura,Secret manager para credenciales Snowflake,Las credenciales por tenant salen de un gestor de secretos.,"• Ninguna credencial en código, en variables de entorno del front ni en ninguna respuesta de API.
• La configuración de agente que el superadmin edita no incluye la credencial: la referencia por identificador.",pendiente,no,,equipo:backend fase:0 estado:pendiente
B0.9,Backend · Fase 0 — Fundamentos e infraestructura,Backend,0,Fundamentos e infraestructura,Contestar las cinco # PREGUNTA: del contrato,"El yaml lleva cinco decisiones marcadas que el front no puede tomar. Contestarlas en el propio archivo es suficiente. | Línea | Qué hay que decidir | |---|---| | 430 | Falta versionModeloSemantico en el evento auditoria del chat. Sin él, el veredicto inconcluso no se calcula. ¿Lo emite el chat o lo resuelve el DECISION_LOG al re-medir? | | 531 | ¿El backend expone actor o lo deriva del token? El front necesita saber si lo manda o se infiere | | 754 | Taxonomía de codigo de error. El front solo necesita distinguir error de campo / regla de negocio / fallo técnico | | 981 | ¿Cómo pasa un token de plataforma el tenant a /config/? /platform/t/{tenantId}/console/ o cabecera X-Tenant-Id con aud: platform | | 1171 | ¿El batch emite DEGRADADO y SIN_PERMISO? Si el catálogo ya viene filtrado por rol, un panel sin permiso no llegaría nunca — pero C5 existe como pantalla |","• Las cinco marcas # PREGUNTA: desaparecen del yaml, reemplazadas por la decisión escrita.
• La 1171 en particular determina qué estados tiene que renderizar F2.1–F2.3.",pendiente,si,,equipo:backend fase:0 estado:pendiente nueva
B0.10,Backend · Fase 0 — Fundamentos e infraestructura,Backend,0,Fundamentos e infraestructura,Endpoint de login,"tareas-front-back.md pide en F0.5 «login → guardar JWT → redirigir», y ninguna tarea de backend lo expone. B0.3 define el JWT pero no la ruta que lo emite.","• Existe POST /api/v1/auth/login (o la ruta que el backend decida) declarado en el yaml, con su forma de request y de respuesta.
• Declara qué pasa con credenciales inválidas y con cuenta bloqueada, con codigo estable.
• El front puede implementar F0.5 sin inventar la forma del request.",pendiente,si,,equipo:backend fase:0 estado:pendiente nueva
B1.1,Backend · Fase 1 — API de consola,Backend,1,API de consola,GET /config/me,"Contexto de arranque: user (con capacidades y preferencias), tenant, role (con puedeAprobar), tabs sin paneles, periodos, catalogVersion, alcance y —si hay más de uno— layouts.","• Las pestañas llegan ya filtradas por el rol del token y en su orden.
• Cada Periodo declara su grano (dia | semana | mes): sin él el front sabe que una métrica es mensual pero no si 2026-W32 es una semana.
• No incluye paneles: pedirlos es GET /config/tabs/{tabId}.
• Con alcance: plataforma incluye tenantsDisponibles; con usuario, no.",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.2,Backend · Fase 1 — API de consola,Backend,1,API de consola,GET /config/catalog,Las métricas del tenant filtradas por el rol del token.,"• Una métrica oculta para el rol no aparece, ni siquiera con estado restringido: ocultar no es permitir, pero tampoco es mostrar el nombre.
• Cada métrica trae base obligatorio (ver D6), familia, forma, capa, fuente, ventana, granoMinimo, dimensiones y catalogVersion.
• direccionSemantica viene solo en las compuestas, y es la frase que se pinta.",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.3,Backend · Fase 1 — API de consola,Backend,1,API de consola,GET /config/blocks,"La tabla tipo ↔ formas aceptadas ↔ rangos de colSpan y rowSpan, para los 15 tipos.","• Los 15 tipos están, incluidos los que ninguna métrica usa hoy (comparison, matrix, graph): el builder los ofrece.
• El front la consume con catalog/blocks.ts, que ya está escrito, sin reescribir la tabla del lado del cliente.",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.4,Backend · Fase 1 — API de consola,Backend,1,API de consola,PUT /config/me/preferencias,Persistir el tema del usuario.,"• El tema se guarda contra el perfil, no contra el tenant ni el navegador: §2.4 lo declara preferencia de usuario, y la misma cuenta se ve igual en dos máquinas.
• El valor inicial vuelve en /config/me → user.preferencias.tema.",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.5,Backend · Fase 1 — API de consola,Backend,1,API de consola,GET /config/tabs/{tabId},"{ tab, panels[] } — el layout, sin datos. Acepta ?layoutId= para multi-dashboard.","• Un tabId que no pertenece al tenant y rol del token devuelve 404, no 403: no se revela la existencia.
• La respuesta no contiene una sola cifra: cambiar de período no la invalida.
• Cada panel trae id, tipo, metricId, colStart, colSpan, rowSpan y opciones?.",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.6,Backend · Fase 1 — API de consola,Backend,1,API de consola,POST /config/panels:batch,"Un request por pestaña, no uno por panel. Body { panelIds, periodo } → { [panelId]: Payload }.","• Fallo parcial: un panel que no resuelve llega con estado: ERROR y el resto vuelve normal. No se falla el batch entero.
• Ocho paneles se resuelven en una llamada.
• No devuelve payload de una métrica oculta para el rol (B1.9).",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.7,Backend · Fase 1 — API de consola,Backend,1,API de consola,Resolver el layout publicado,"La resolución que ocurre antes de responder: tomar el layout publicado, filtrar pestañas y paneles por rol, aplicar overrides.","• El front recibe solo lo resuelto y no aplica ningún filtro.
• Una métrica oculta no llega ni en tabs, ni en catalog, ni en batch.
• Un rol con override ve su composición propia sin huecos en la grilla.",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.8,Backend · Fase 1 — API de consola,Backend,1,API de consola,Filtrar pestañas por visibilidad de rol,"La resolución que ocurre antes de responder: tomar el layout publicado, filtrar pestañas y paneles por rol, aplicar overrides.","• El front recibe solo lo resuelto y no aplica ningún filtro.
• Una métrica oculta no llega ni en tabs, ni en catalog, ni en batch.
• Un rol con override ve su composición propia sin huecos en la grilla.",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.9,Backend · Fase 1 — API de consola,Backend,1,API de consola,Filtrar paneles por hiddenMetricIds — ocultar ≠ permitir,"La resolución que ocurre antes de responder: tomar el layout publicado, filtrar pestañas y paneles por rol, aplicar overrides.","• El front recibe solo lo resuelto y no aplica ningún filtro.
• Una métrica oculta no llega ni en tabs, ni en catalog, ni en batch.
• Un rol con override ve su composición propia sin huecos en la grilla.",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.10,Backend · Fase 1 — API de consola,Backend,1,API de consola,Aplicar layoutOverrides por rol,"La resolución que ocurre antes de responder: tomar el layout publicado, filtrar pestañas y paneles por rol, aplicar overrides.","• El front recibe solo lo resuelto y no aplica ningún filtro.
• Una métrica oculta no llega ni en tabs, ni en catalog, ni en batch.
• Un rol con override ve su composición propia sin huecos en la grilla.",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.11,Backend · Fase 1 — API de consola,Backend,1,API de consola,Unión discriminada de Payload,"Cinco estados por estado: DISPONIBLE, DEGRADADO, BLOQUEADO, SIN_PERMISO, ERROR.","• BLOQUEADO no lleva valor. Es estructural, no una convención.
• Ningún estado lleva campos de otro.
• CARGANDO no existe del lado del servidor: es del cliente.",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.12,Backend · Fase 1 — API de consola,Backend,1,API de consola,Gobierno obligatorio en DISPONIBLE y DEGRADADO,"base, capa, fuente, frescura, catalogVersion intersectados en los dos estados que muestran número.","• Un valor sin procedencia es imposible de construir en el tipo, no algo que se recuerde poner.
• frescura es ISO 8601 y refleja cuándo se materializó, no «ahora» (B2.10).",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.13,Backend · Fase 1 — API de consola,Backend,1,API de consola,Presentacion opcional,"Los rótulos y cifras de apoyo que el panel pinta alrededor del valor: label, medidor, comparativo, nota. Viajan con el dato, no con el layout, porque dependen del período.","• El backend devuelve los rótulos ya redactados; el front no los compone.
• label lleva la unidad («USD · TOTAL»), y por eso la cifra grande no la lleva pegada: a 44px «USD 4.28M» no entra en un panel de colSpan 3.",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.14,Backend · Fase 1 — API de consola,Backend,1,API de consola,Transformar a las formas de Valor,"Las 11 formas que el contrato ya declara, con las reglas mínimas de §8 del documento.","• escalarConIntervalo y serieConBanda traen lo, hi y nivel obligatorios: prohibida la estimación puntual sin intervalo.
• composicion trae porcentaje calculado por el backend, y suma 100.
• ranking trae posicion ≥ 1.
• prosa trae pilares como objetos, nunca cadenas parseables.
• tabular declara por columna si es numérica, con decimales y unidad.",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.15,Backend · Fase 1 — API de consola,Backend,1,API de consola,Validar reglas mínimas por forma antes de enviar,,"• Un panel gauge sin maximo en opciones no se sirve como DISPONIBLE.
• Una serieTemporal con cero puntos llega como DISPONIBLE con vacioRazon y vacioDesbloqueaCon, no como un array vacío: §8 pide que el vacío sea invitación a actuar, y un array vacío no alcanza para escribir «el período cierra el 1 de septiembre».",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.16,Backend · Fase 1 — API de consola,Backend,1,API de consola,"Seed de demo: 1 tenant, 1 layout, 1 pestaña, 4–6 paneles",B1.16 pide datos de demo. Esto pide que sean estables: el front necesita que la misma llamada devuelva lo mismo para poder escribir pruebas de integración contra HTTP.,"• Un script recrea el seed de cero.
• Con el seed cargado, panels:batch devuelve los mismos valores en dos corridas.
• El seed cubre al menos un panel por cada estado: DISPONIBLE, DEGRADADO, BLOQUEADO, ERROR. Sin eso, F2.1–F2.4 no se pueden probar contra el backend.",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.20,Backend · Fase 1 — API de consola,Backend,1,API de consola,Seed determinista para desarrollo del front,B1.16 pide datos de demo. Esto pide que sean estables: el front necesita que la misma llamada devuelva lo mismo para poder escribir pruebas de integración contra HTTP.,"• Un script recrea el seed de cero.
• Con el seed cargado, panels:batch devuelve los mismos valores en dos corridas.
• El seed cubre al menos un panel por cada estado: DISPONIBLE, DEGRADADO, BLOQUEADO, ERROR. Sin eso, F2.1–F2.4 no se pueden probar contra el backend.",pendiente,si,,equipo:backend fase:1 estado:pendiente nueva
B1.21,Backend · Fase 1 — API de consola,Backend,1,API de consola,Declarar los mínimos de datos por gráfico,"D2: los gráficos dependen de los datos, y hay que establecer los datos mínimos para construir el gráfico. contracts/synapse-plots.js declara hoy formas, soportaBanda y tope —el límite superior— pero no declara mínimos, así que nada impide que un gráfico reciba menos datos de los que necesita y dibuje algo que engaña. Va en Fase 1 y no en Fase 4 porque sirve ya, aun con un solo gráfico por tipo: hoy bars puede recibir un ítem y dibujar una barra sola.","• Cada entrada del repertorio declara minimos con su razón, no solo un número: la razón es lo que se muestra en pantalla.
• Se expone en GET /config/plots, con la misma forma con la que /config/blocks expone la tabla de bloques.
• Los mínimos son verificables contra el fixture: una serie de un punto, una composición de una parte y un ranking de dos ítems disparan el estado vacío con su razón.
• La tabla vive en un solo lugar y la consumen los tres que validan: el builder, layouts/{id}/validate y el adaptador del front.",pendiente,si,,equipo:backend fase:1 estado:pendiente nueva
B1.17,Backend · Fase 1 — API de consola,Backend,1,API de consola,Modelo Metrica,,"• El catálogo declara granoMinimo por métrica: el período más fino que puede contestar.
• Una métrica cuyo insumo está en SILVER no declara GOLD: la compuesta hereda la peor capa.
• Cambiar el catálogo incrementa catalogVersion, y ese número viaja en cada payload.",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.18,Backend · Fase 1 — API de consola,Backend,1,API de consola,Sincronizar el catálogo con las semantic views de Snowflake,,"• El catálogo declara granoMinimo por métrica: el período más fino que puede contestar.
• Una métrica cuyo insumo está en SILVER no declara GOLD: la compuesta hereda la peor capa.
• Cambiar el catálogo incrementa catalogVersion, y ese número viaja en cada payload.",pendiente,no,,equipo:backend fase:1 estado:pendiente
B1.19,Backend · Fase 1 — API de consola,Backend,1,API de consola,Filtrar el catálogo por permisos de rol,,"• El catálogo declara granoMinimo por métrica: el período más fino que puede contestar.
• Una métrica cuyo insumo está en SILVER no declara GOLD: la compuesta hereda la peor capa.
• Cambiar el catálogo incrementa catalogVersion, y ese número viaja en cada payload.",pendiente,no,,equipo:backend fase:1 estado:pendiente
B2.1,Backend · Fase 2 — Materialización y cache,Backend,2,Materialización y cache,Tabla panel_data,"El snapshot materializado con gobierno completo por (tenant_id, metric_id, periodo). Es la fuente del batch y sobrevive reinicios.","• Guarda el Valor ya transformado a su forma, no el resultado crudo de la query.
• Guarda frescura como el instante de materialización.
• Se puede auditar: qué había en un panel el mes pasado es consultable.",pendiente,no,,equipo:backend fase:2 estado:pendiente
B2.2,Backend · Fase 2 — Materialización y cache,Backend,2,Materialización y cache,Job de materialización,"Por cada tenant × métrica × período activo: consultar Snowflake o el semantic layer, transformar a Valor + Gobierno + Presentacion, escribir en panel_data.","• Un dashboard de 30 paneles no dispara 30 queries a Snowflake al cargar la página: el batch lee cache.
• El job es idempotente: correrlo dos veces sobre el mismo período no duplica.
• Un fallo en una métrica no aborta el resto del job.",pendiente,no,,equipo:backend fase:2 estado:pendiente
B2.3,Backend · Fase 2 — Materialización y cache,Backend,2,Materialización y cache,"El batch lee de panel_data, no de Snowflake",,"• batch → Redis hit? → return · miss → Postgres → populate → return.
• Redis no es fuente de verdad. Vaciarlo no pierde datos: los repuebla desde Postgres.
• TTL corto, 5–15 minutos.",pendiente,no,,equipo:backend fase:2 estado:pendiente
B2.4,Backend · Fase 2 — Materialización y cache,Backend,2,Materialización y cache,Redis opcional encima de Postgres,,"• batch → Redis hit? → return · miss → Postgres → populate → return.
• Redis no es fuente de verdad. Vaciarlo no pierde datos: los repuebla desde Postgres.
• TTL corto, 5–15 minutos.",pendiente,no,,equipo:backend fase:2 estado:pendiente
